"FullName","Length","LastWriteTime"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\_Logs\logs_audit_20250814_1256.csv","496","14-Aug-2025 12:56:00"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\_Logs",,"14-Aug-2025 12:56:00"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\_Logs\deepscan_CAPM_Exam_20250814_1238.csv","15736","14-Aug-2025 12:38:07"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\_Logs\deepscan_CAPM_Exam_20250814_1233.csv","15620","14-Aug-2025 12:34:31"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\_Logs\deepscan_excel_to_json_20250814_1233.csv","19711","14-Aug-2025 12:34:31"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\10questions.txt","7427","05-Aug-2025 15:53:07"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\add_questions_to_excel.py","4239","05-Aug-2025 15:30:06"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\convert_questions.py","2562","05-Aug-2025 08:59:27"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\requirements.txt","22","04-Aug-2025 18:30:59"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\archive\nginx.conf","1215","04-Aug-2025 09:07:09"
